"species","longitude","latitude","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"Triturus pygmaeus",-5.747391,37.85425,15.4911251068115,12.4145412445068,40.5972633361816,630.942687988281,33.3252487182617,2.74550008773804,30.5797481536865,9.26550006866455,23.6006240844727,23.7523746490479,8.35720825195312,637,104,4,62.9571380615234,284,29,33,259
"Triturus pygmaeus",-9.441876,38.690058,15.8112182617188,6.73737478256226,41.0790367126465,341.155334472656,24.6354522705078,8.23444843292236,16.4010047912598,12.4615383148193,19.8281497955322,20.2424755096436,11.7947044372559,711,112,8,61.0082931518555,315,39,46,296
"Triturus pygmaeus",-5.425261,36.466189,17.163782119751,8.78777122497559,40.3733787536621,461.508697509766,29.4120006561279,7.64575004577637,21.7662506103516,12.9785003662109,22.8842926025391,23.336124420166,12.0305414199829,713,131,0,76.4853744506836,355,14,21,329
"Triturus pygmaeus",-3.655395,40.768363,12.9809064865112,11.8492298126221,38.2634353637695,682.298950195312,31.0322494506836,0.064750000834465,30.9674987792969,8.9707498550415,21.8968753814697,21.8968753814697,5.30941677093506,395,50,12,36.2732734680176,140,54,54,110
"Triturus pygmaeus",-3.632477,40.799963,12.9809064865112,11.8492298126221,38.2634353637695,682.298950195312,31.0322494506836,0.064750000834465,30.9674987792969,8.9707498550415,21.8968753814697,21.8968753814697,5.30941677093506,395,50,12,36.2732734680176,140,54,54,110
"Triturus pygmaeus",-9.440239,38.799993,15.8112182617188,6.73737478256226,41.0790367126465,341.155334472656,24.6354522705078,8.23444843292236,16.4010047912598,12.4615383148193,19.8281497955322,20.2424755096436,11.7947044372559,711,112,8,61.0082931518555,315,39,46,296
"Triturus pygmaeus",-9.430772,38.95362,15.6981573104858,6.82951068878174,41.4803123474121,339.007263183594,24.5095043182373,8.04504108428955,16.4644622802734,12.3911161422729,19.667631149292,20.0957984924316,11.6946277618408,692,109,7,61.549877166748,307,37,43,289
"Triturus pygmaeus",-5.798714,36.52607,17.0635318756104,9.46460437774658,40.2886238098145,497.340515136719,30.318000793457,6.82600021362305,23.492000579834,12.4766664505005,23.2405834197998,23.6784591674805,11.4777917861938,674,115,1,71.717529296875,322,18,24,297
"Triturus pygmaeus",-6.18527,39.82857,15.8809270858765,10.6269378662109,37.0115356445312,640.3798828125,32.6030006408691,3.89050006866455,28.7125015258789,9.48312473297119,24.1820831298828,24.2168750762939,8.66512489318848,551,83,7,53.5716552734375,231,42,42,207
"Triturus pygmaeus",-5.63,37.95,15.0043439865112,12.1843538284302,40.2595596313477,628.326782226562,32.658748626709,2.39424991607666,30.2644996643066,8.81741714477539,23.0798740386963,23.2365837097168,7.90254163742065,656,106,4,62.3957214355469,290,30,34,265
"Triturus pygmaeus",-5.63,37.95,15.0043439865112,12.1843538284302,40.2595596313477,628.326782226562,32.658748626709,2.39424991607666,30.2644996643066,8.81741714477539,23.0798740386963,23.2365837097168,7.90254163742065,656,106,4,62.3957214355469,290,30,34,265
"Triturus pygmaeus",-6.566503,37.046749,17.9339847564697,11.0185842514038,42.3329124450684,530.396423339844,32.2451705932617,6.21676111221313,26.0284099578857,12.5924711227417,24.5223007202148,24.7490539550781,11.7350378036499,507,88,2,68.4055328369141,243,21,24,216
"Triturus pygmaeus",-5.718844,38.037369,15.1069793701172,12.6997079849243,40.3546485900879,651.0244140625,33.6074981689453,2.13724994659424,31.4702491760254,8.65470886230469,23.5169162750244,23.611499786377,7.76320838928223,655,107,5,61.8461456298828,291,33,36,266
"Triturus pygmaeus",-5.623116,37.952301,15.0043439865112,12.1843538284302,40.2595596313477,628.326782226562,32.658748626709,2.39424991607666,30.2644996643066,8.81741714477539,23.0798740386963,23.2365837097168,7.90254163742065,656,106,4,62.3957214355469,290,30,34,265
"Triturus pygmaeus",-5.622833,37.952259,15.0043439865112,12.1843538284302,40.2595596313477,628.326782226562,32.658748626709,2.39424991607666,30.2644996643066,8.81741714477539,23.0798740386963,23.2365837097168,7.90254163742065,656,106,4,62.3957214355469,290,30,34,265
"Triturus pygmaeus",-5.623001,37.952168,15.0043439865112,12.1843538284302,40.2595596313477,628.326782226562,32.658748626709,2.39424991607666,30.2644996643066,8.81741714477539,23.0798740386963,23.2365837097168,7.90254163742065,656,106,4,62.3957214355469,290,30,34,265
"Triturus pygmaeus",-5.623104,37.952358,15.0043439865112,12.1843538284302,40.2595596313477,628.326782226562,32.658748626709,2.39424991607666,30.2644996643066,8.81741714477539,23.0798740386963,23.2365837097168,7.90254163742065,656,106,4,62.3957214355469,290,30,34,265
"Triturus pygmaeus",-5.622967,37.952869,15.0043439865112,12.1843538284302,40.2595596313477,628.326782226562,32.658748626709,2.39424991607666,30.2644996643066,8.81741714477539,23.0798740386963,23.2365837097168,7.90254163742065,656,106,4,62.3957214355469,290,30,34,265
"Triturus pygmaeus",-5.728089,37.952408,15.4911251068115,12.4145412445068,40.5972633361816,630.942687988281,33.3252487182617,2.74550008773804,30.5797481536865,9.26550006866455,23.6006240844727,23.7523746490479,8.35720825195312,637,104,4,62.9571380615234,284,29,33,259
"Triturus pygmaeus",-5.728015,37.952423,15.4911251068115,12.4145412445068,40.5972633361816,630.942687988281,33.3252487182617,2.74550008773804,30.5797481536865,9.26550006866455,23.6006240844727,23.7523746490479,8.35720825195312,637,104,4,62.9571380615234,284,29,33,259
"Triturus pygmaeus",-5.728016,37.952431,15.4911251068115,12.4145412445068,40.5972633361816,630.942687988281,33.3252487182617,2.74550008773804,30.5797481536865,9.26550006866455,23.6006240844727,23.7523746490479,8.35720825195312,637,104,4,62.9571380615234,284,29,33,259
"Triturus pygmaeus",-5.727516,37.953011,15.4911251068115,12.4145412445068,40.5972633361816,630.942687988281,33.3252487182617,2.74550008773804,30.5797481536865,9.26550006866455,23.6006240844727,23.7523746490479,8.35720825195312,637,104,4,62.9571380615234,284,29,33,259
"Triturus pygmaeus",-5.611846,37.894859,15.0043439865112,12.1843538284302,40.2595596313477,628.326782226562,32.658748626709,2.39424991607666,30.2644996643066,8.81741714477539,23.0798740386963,23.2365837097168,7.90254163742065,656,106,4,62.3957214355469,290,30,34,265
"Triturus pygmaeus",-5.50439,37.934059,15.0043439865112,12.1843538284302,40.2595596313477,628.326782226562,32.658748626709,2.39424991607666,30.2644996643066,8.81741714477539,23.0798740386963,23.2365837097168,7.90254163742065,656,106,4,62.3957214355469,290,30,34,265
"Triturus pygmaeus",-5.504395,37.934021,15.0043439865112,12.1843538284302,40.2595596313477,628.326782226562,32.658748626709,2.39424991607666,30.2644996643066,8.81741714477539,23.0798740386963,23.2365837097168,7.90254163742065,656,106,4,62.3957214355469,290,30,34,265
"Triturus pygmaeus",-5.504395,37.934021,15.0043439865112,12.1843538284302,40.2595596313477,628.326782226562,32.658748626709,2.39424991607666,30.2644996643066,8.81741714477539,23.0798740386963,23.2365837097168,7.90254163742065,656,106,4,62.3957214355469,290,30,34,265
"Triturus pygmaeus",-5.504379,37.933949,15.0043439865112,12.1843538284302,40.2595596313477,628.326782226562,32.658748626709,2.39424991607666,30.2644996643066,8.81741714477539,23.0798740386963,23.2365837097168,7.90254163742065,656,106,4,62.3957214355469,290,30,34,265
"Triturus pygmaeus",-5.512228,37.910408,15.0043439865112,12.1843538284302,40.2595596313477,628.326782226562,32.658748626709,2.39424991607666,30.2644996643066,8.81741714477539,23.0798740386963,23.2365837097168,7.90254163742065,656,106,4,62.3957214355469,290,30,34,265
"Triturus pygmaeus",-5.516294,37.91317,15.0043439865112,12.1843538284302,40.2595596313477,628.326782226562,32.658748626709,2.39424991607666,30.2644996643066,8.81741714477539,23.0798740386963,23.2365837097168,7.90254163742065,656,106,4,62.3957214355469,290,30,34,265
"Triturus pygmaeus",-5.523589,37.913109,15.0043439865112,12.1843538284302,40.2595596313477,628.326782226562,32.658748626709,2.39424991607666,30.2644996643066,8.81741714477539,23.0798740386963,23.2365837097168,7.90254163742065,656,106,4,62.3957214355469,290,30,34,265
"Triturus pygmaeus",-5.511928,37.910103,15.0043439865112,12.1843538284302,40.2595596313477,628.326782226562,32.658748626709,2.39424991607666,30.2644996643066,8.81741714477539,23.0798740386963,23.2365837097168,7.90254163742065,656,106,4,62.3957214355469,290,30,34,265
"Triturus pygmaeus",-5.511915,37.910076,15.0043439865112,12.1843538284302,40.2595596313477,628.326782226562,32.658748626709,2.39424991607666,30.2644996643066,8.81741714477539,23.0798740386963,23.2365837097168,7.90254163742065,656,106,4,62.3957214355469,290,30,34,265
"Triturus pygmaeus",-5.504521,37.933502,15.0043439865112,12.1843538284302,40.2595596313477,628.326782226562,32.658748626709,2.39424991607666,30.2644996643066,8.81741714477539,23.0798740386963,23.2365837097168,7.90254163742065,656,106,4,62.3957214355469,290,30,34,265
"Triturus pygmaeus",-5.504258,37.933422,15.0043439865112,12.1843538284302,40.2595596313477,628.326782226562,32.658748626709,2.39424991607666,30.2644996643066,8.81741714477539,23.0798740386963,23.2365837097168,7.90254163742065,656,106,4,62.3957214355469,290,30,34,265
"Triturus pygmaeus",-5.864792,37.763527,17.140739440918,12.4537286758423,41.2112426757812,621.204406738281,34.5180015563965,4.29874992370605,30.2192516326904,10.956000328064,25.08766746521,25.2237510681152,10.0705833435059,565,96,3,64.7024917602539,258,25,30,232
"Triturus pygmaeus",-5.34,36.74,14.2751665115356,10.0691251754761,38.7650489807129,557.361877441406,29.2627506256104,3.28800010681152,25.9747505187988,9.08137512207031,21.3754577636719,21.6700420379639,8.0114164352417,781,124,2,70.2564010620117,356,21,26,344
"Triturus pygmaeus",-5.34,36.74,14.2751665115356,10.0691251754761,38.7650489807129,557.361877441406,29.2627506256104,3.28800010681152,25.9747505187988,9.08137512207031,21.3754577636719,21.6700420379639,8.0114164352417,781,124,2,70.2564010620117,356,21,26,344
"Triturus pygmaeus",-6.159448,39.222925,15.4056148529053,11.4068126678467,37.885684967041,656.650695800781,33.0040016174316,2.89549994468689,30.1085014343262,8.86758327484131,23.9013328552246,23.9968757629395,8.01949977874756,590,96,6,58.319522857666,259,39,39,230
"Triturus pygmaeus",-6.159378,39.222886,15.4056148529053,11.4068126678467,37.885684967041,656.650695800781,33.0040016174316,2.89549994468689,30.1085014343262,8.86758327484131,23.9013328552246,23.9968757629395,8.01949977874756,590,96,6,58.319522857666,259,39,39,230
"Triturus pygmaeus",-5.34,36.74,14.2751665115356,10.0691251754761,38.7650489807129,557.361877441406,29.2627506256104,3.28800010681152,25.9747505187988,9.08137512207031,21.3754577636719,21.6700420379639,8.0114164352417,781,124,2,70.2564010620117,356,21,26,344
"Triturus pygmaeus",-5.622796,37.953068,15.0043439865112,12.1843538284302,40.2595596313477,628.326782226562,32.658748626709,2.39424991607666,30.2644996643066,8.81741714477539,23.0798740386963,23.2365837097168,7.90254163742065,656,106,4,62.3957214355469,290,30,34,265
"Triturus pygmaeus",-5.622796,37.953068,15.0043439865112,12.1843538284302,40.2595596313477,628.326782226562,32.658748626709,2.39424991607666,30.2644996643066,8.81741714477539,23.0798740386963,23.2365837097168,7.90254163742065,656,106,4,62.3957214355469,290,30,34,265
"Triturus pygmaeus",-5.622796,37.953068,15.0043439865112,12.1843538284302,40.2595596313477,628.326782226562,32.658748626709,2.39424991607666,30.2644996643066,8.81741714477539,23.0798740386963,23.2365837097168,7.90254163742065,656,106,4,62.3957214355469,290,30,34,265
"Triturus pygmaeus",-5.622796,37.953068,15.0043439865112,12.1843538284302,40.2595596313477,628.326782226562,32.658748626709,2.39424991607666,30.2644996643066,8.81741714477539,23.0798740386963,23.2365837097168,7.90254163742065,656,106,4,62.3957214355469,290,30,34,265
"Triturus pygmaeus",-5.618284,37.966717,15.0043439865112,12.1843538284302,40.2595596313477,628.326782226562,32.658748626709,2.39424991607666,30.2644996643066,8.81741714477539,23.0798740386963,23.2365837097168,7.90254163742065,656,106,4,62.3957214355469,290,30,34,265
"Triturus pygmaeus",-4.140346,38.834262,14.8645105361938,12.8424787521362,38.6789627075195,720.056579589844,34.1054992675781,0.902750015258789,33.202751159668,10.4391660690308,24.0644989013672,24.2810001373291,6.71504163742065,414,58,6,45.7455825805664,153,36,41,140
"Triturus pygmaeus",-5.718844,38.037369,15.1069793701172,12.6997079849243,40.3546485900879,651.0244140625,33.6074981689453,2.13724994659424,31.4702491760254,8.65470886230469,23.5169162750244,23.611499786377,7.76320838928223,655,107,5,61.8461456298828,291,33,36,266
"Triturus pygmaeus",-6.566503,37.046749,17.9339847564697,11.0185842514038,42.3329124450684,530.396423339844,32.2451705932617,6.21676111221313,26.0284099578857,12.5924711227417,24.5223007202148,24.7490539550781,11.7350378036499,507,88,2,68.4055328369141,243,21,24,216
"Triturus pygmaeus",-5.622833,37.952259,15.0043439865112,12.1843538284302,40.2595596313477,628.326782226562,32.658748626709,2.39424991607666,30.2644996643066,8.81741714477539,23.0798740386963,23.2365837097168,7.90254163742065,656,106,4,62.3957214355469,290,30,34,265
"Triturus pygmaeus",-5.623001,37.952168,15.0043439865112,12.1843538284302,40.2595596313477,628.326782226562,32.658748626709,2.39424991607666,30.2644996643066,8.81741714477539,23.0798740386963,23.2365837097168,7.90254163742065,656,106,4,62.3957214355469,290,30,34,265
"Triturus pygmaeus",-5.623104,37.952358,15.0043439865112,12.1843538284302,40.2595596313477,628.326782226562,32.658748626709,2.39424991607666,30.2644996643066,8.81741714477539,23.0798740386963,23.2365837097168,7.90254163742065,656,106,4,62.3957214355469,290,30,34,265
"Triturus pygmaeus",-5.622967,37.952869,15.0043439865112,12.1843538284302,40.2595596313477,628.326782226562,32.658748626709,2.39424991607666,30.2644996643066,8.81741714477539,23.0798740386963,23.2365837097168,7.90254163742065,656,106,4,62.3957214355469,290,30,34,265
"Triturus pygmaeus",-5.728089,37.952408,15.4911251068115,12.4145412445068,40.5972633361816,630.942687988281,33.3252487182617,2.74550008773804,30.5797481536865,9.26550006866455,23.6006240844727,23.7523746490479,8.35720825195312,637,104,4,62.9571380615234,284,29,33,259
"Triturus pygmaeus",-5.728016,37.952431,15.4911251068115,12.4145412445068,40.5972633361816,630.942687988281,33.3252487182617,2.74550008773804,30.5797481536865,9.26550006866455,23.6006240844727,23.7523746490479,8.35720825195312,637,104,4,62.9571380615234,284,29,33,259
"Triturus pygmaeus",-5.728015,37.952423,15.4911251068115,12.4145412445068,40.5972633361816,630.942687988281,33.3252487182617,2.74550008773804,30.5797481536865,9.26550006866455,23.6006240844727,23.7523746490479,8.35720825195312,637,104,4,62.9571380615234,284,29,33,259
"Triturus pygmaeus",-5.727516,37.953011,15.4911251068115,12.4145412445068,40.5972633361816,630.942687988281,33.3252487182617,2.74550008773804,30.5797481536865,9.26550006866455,23.6006240844727,23.7523746490479,8.35720825195312,637,104,4,62.9571380615234,284,29,33,259
"Triturus pygmaeus",-5.611846,37.894859,15.0043439865112,12.1843538284302,40.2595596313477,628.326782226562,32.658748626709,2.39424991607666,30.2644996643066,8.81741714477539,23.0798740386963,23.2365837097168,7.90254163742065,656,106,4,62.3957214355469,290,30,34,265
